,topic,all_reactions,comments,shares,interaction_sum,polarity,subjectivity
0,0,63.0,0.0,48.0,111,0.0,0.0
1,0,0.0,31.0,64.0,95,-0.2,0.8
2,1,7.0,0.0,0.0,7,-0.16666666666666666,0.16666666666666666
3,1,33.0,5.0,99.0,137,-0.05,0.4
4,0,245.0,226.0,400.0,871,0.07487179487179486,0.5420940170940169
5,0,319.0,83.0,296.0,698,0.5,0.5
6,3,40.0,7.0,71.0,118,-0.09523809523809523,0.43971306471306476
7,0,36.0,5.0,23.0,64,0.009090909090909066,0.4151515151515151
8,0,10.0,4.0,7.0,21,0.009090909090909066,0.4151515151515151
9,0,93.0,10.0,77.0,180,-0.37333333333333335,0.7333333333333333
10,0,24.0,0.0,6.0,30,-0.45000000000000007,0.8
11,0,22.0,0.0,9.0,31,-0.21666666666666667,0.85
12,0,129.0,41.0,120.0,290,-0.17772727272727276,0.48590909090909096
13,0,0.0,55.0,98.0,153,-0.06666666666666668,0.4666666666666666
14,0,45.0,0.0,21.0,66,0.17777777777777773,0.3555555555555556
15,0,12.0,0.0,6.0,18,-0.24166666666666667,0.5479166666666667
16,0,66.0,7.0,38.0,111,-0.10757575757575757,0.48030303030303034
17,0,36.0,3.0,57.0,96,-0.3291666666666668,0.5666666666666668
18,0,90.0,20.0,36.0,146,-0.2888888888888889,0.5555555555555555
19,0,82.0,42.0,70.0,194,0.041003787878787876,0.4214015151515152
20,0,82.0,6.0,32.0,120,-0.5,1.0
21,0,575.0,147.0,328.0,1050,-0.09333333333333334,0.25333333333333335
22,0,58.0,8.0,52.0,118,-0.02462121212121214,0.35994318181818186
23,0,15.0,0.0,6.0,21,-0.22777777777777777,0.5444444444444445
24,0,144.0,62.0,59.0,265,0.0,0.75
25,0,35.0,4.0,9.0,48,0.01574074074074074,0.41203703703703703
26,0,24.0,0.0,10.0,34,-0.2555555555555556,0.4222222222222222
27,0,4.0,2.0,10.0,16,-0.11666666666666667,0.6166666666666666
28,0,6400.0,37000.0,913.0,44313,-0.0625,0.875
29,0,274.0,16.0,550.0,840,0.029082054309327046,0.34241637150728066
30,0,18.0,0.0,27.0,45,0.1,0.4833333333333333
31,0,0.0,0.0,0.0,0,0.4166666666666667,0.5499999999999999
32,1,1.0,0.0,0.0,1,-0.12,0.5250000000000001
33,0,9900.0,14000.0,17308.0,41208,0.37,0.44333333333333336
34,0,81.0,25.0,267.0,373,-0.4,0.55
35,0,33000.0,0.0,68984.0,101984,0.3213768115942029,0.5025362318840579
36,0,80.0,0.0,349.0,429,0.0,0.1
37,0,280.0,0.0,1739.0,2019,0.0,0.375
38,0,183.0,136.0,157.0,476,0.13165374677002584,0.4361757105943152
39,0,131.0,95.0,121.0,347,0.08333333333333333,0.3884259259259259
40,0,246.0,51.0,401.0,698,0.03333333333333333,0.45606060606060606
41,4,586.0,85.0,340.0,1011,0.0,0.0
42,0,279.0,177.0,301.0,757,-0.03939393939393941,0.5068181818181817
43,0,279.0,177.0,301.0,757,-0.03939393939393941,0.5068181818181817
44,0,344.0,0.0,1173.0,1517,-0.12032967032967035,0.5315750915750915
45,0,5.0,0.0,4.0,9,0.04157512626262625,0.47903724747474746
46,0,281.0,98.0,844.0,1223,0.057902815214136,0.49492737346510934
47,0,279.0,177.0,301.0,757,-0.03939393939393941,0.5068181818181817
48,0,6.0,7.0,5.0,18,-0.024999999999999967,0.630952380952381
49,0,0.0,7.0,5.0,12,0.04062500000000003,0.6145833333333334
50,0,45.0,2.0,19.0,66,-0.056666666666666664,0.5599999999999999
51,0,9800.0,3000.0,912.0,13712,0.25,0.7749999999999999
52,0,63000.0,44000.0,624.0,107624,0.175,0.325
53,0,28.0,0.0,34.0,62,0.24444444444444446,0.7666666666666666
54,0,783.0,39.0,1203.0,2025,0.35,0.6000000000000001
55,0,35.0,0.0,64.0,99,0.11818181818181818,0.42727272727272725
56,0,464.0,179.0,856.0,1499,0.019729838063171395,0.3759942680776014
57,0,91.0,22.0,37.0,150,0.06666666666666667,0.25000000000000006
58,0,244.0,41.0,1323.0,1608,-0.09999999999999992,0.5833333333333333
59,0,203.0,0.0,385.0,588,0.25,0.25
60,3,1.0,0.0,5.0,6,0.0,0.75
61,0,491.0,61.0,962.0,1514,0.15064935064935067,0.49062049062049057
62,0,23.0,0.0,31.0,54,-0.1,0.3
63,0,779.0,238.0,1447.0,2464,-0.10803030303030305,0.36883838383838385
64,0,408.0,22.0,46.0,476,0.4142857142857143,0.7214285714285714
65,0,568.0,515.0,1642.0,2725,0.5249999999999999,0.5750000000000001
66,0,779.0,238.0,1447.0,2464,-0.10803030303030305,0.36883838383838385
67,0,419.0,0.0,103.0,522,0.18831168831168826,0.461038961038961
68,0,4.0,0.0,2.0,6,-0.45,0.8
69,0,0.0,16.0,56.0,72,0.0,0.0
70,0,44.0,34.0,85.0,163,0.1708333333333333,0.3999999999999999
71,0,41.0,0.0,78.0,119,0.08783333333333336,0.3964206349206349
72,0,779.0,238.0,1447.0,2464,-0.10803030303030305,0.36883838383838385
73,0,39.0,47.0,394.0,480,-0.13032106782106784,0.3426857864357864
74,0,779.0,238.0,1447.0,2464,-0.10803030303030305,0.36883838383838385
75,0,1300.0,69.0,39.0,1408,0.08166666666666667,0.3401190476190476
76,0,1400.0,138.0,24.0,1562,0.19166666666666668,0.5694444444444444
77,0,2300.0,641.0,1132.0,4073,0.0,0.0
78,0,8.0,0.0,10.0,18,0.03333333333333333,0.5375
79,0,779.0,238.0,1447.0,2464,-0.10803030303030305,0.36883838383838385
80,0,282.0,474.0,515.0,1271,0.15952380952380954,0.35773809523809524
81,0,12.0,2.0,6.0,20,0.1410493827160494,0.4441358024691358
82,0,65.0,40.0,54.0,159,0.055773809523809524,0.3360714285714286
83,0,200.0,46.0,208.0,454,0.06595731474407944,0.4451903488668194
84,0,5700.0,17000.0,6417.0,29117,0.16,0.24000000000000005
85,0,7.0,1.0,3.0,11,-0.5,0.9
86,0,299.0,0.0,290.0,589,0.13958333333333334,0.25625000000000003
87,0,61.0,12.0,34.0,107,-0.3,0.6
88,0,676.0,181.0,178.0,1035,0.06694214876033058,0.37575757575757573
89,0,95.0,34.0,13.0,142,0.09999999999999999,0.42361111111111116
90,0,75.0,0.0,113.0,188,0.13333333333333333,0.48611111111111116
91,0,75.0,18.0,231.0,324,-0.01875,0.3195075757575758
92,0,38.0,16.0,342.0,396,-0.02462121212121212,0.19242424242424241
93,0,1100.0,0.0,8793.0,9893,-0.5,0.9
94,0,19.0,0.0,79.0,98,0.2,0.9444444444444444
95,0,0.0,22.0,6.0,28,0.17142857142857143,0.3380952380952381
96,0,115.0,0.0,52.0,167,0.12222222222222223,0.2111111111111111
97,1,881.0,0.0,1269.0,2150,-0.019565217391304346,0.5701690821256039
98,1,14.0,5.0,4.0,23,0.0,0.25
99,1,47.0,8.0,58.0,113,-0.04895833333333333,0.5453703703703704
100,0,67.0,25.0,68.0,160,0.07589697615817018,0.438402145118563
101,0,84.0,26.0,80.0,190,0.0,0.0
102,3,6100.0,313.0,987.0,7400,0.147985347985348,0.38974358974358975
103,0,745.0,262.0,2514.0,3521,-0.026047619047619052,0.5525238095238094
104,0,106.0,56.0,258.0,420,-0.04379960317460318,0.6213789682539682
105,4,52.0,3.0,107.0,162,-0.0343576521517698,0.4768557422969187
106,0,48.0,1.0,25.0,74,0.09204004329004328,0.4872619047619048
107,0,169.0,18.0,266.0,453,-0.050051759834368534,0.5788302277432712
108,0,676.0,181.0,178.0,1035,0.06694214876033058,0.37575757575757573
109,0,95.0,34.0,13.0,142,0.09999999999999999,0.42361111111111116
110,0,0.0,13.0,396.0,409,-0.12499999999999999,0.6375
111,1,1800.0,727.0,467.0,2994,-0.3292929292929293,0.6838383838383838
112,1,1800.0,727.0,467.0,2994,-0.3292929292929293,0.6838383838383838
113,1,3500.0,110.0,210.0,3820,0.106758658008658,0.42823322510822515
114,0,1500.0,0.0,765.0,2265,0.32949810606060603,0.47642045454545456
115,0,94.0,31.0,23.0,148,0.075,0.32222222222222224
116,3,2.0,0.0,3.0,5,-0.344047619047619,0.5595238095238095
117,0,2.0,0.0,2.0,4,0.0,0.125
118,0,103.0,46.0,78.0,227,0.03212353123067409,0.3941210575139147
119,1,1900.0,0.0,322.0,2222,0.09818001443001442,0.557041847041847
120,0,103.0,46.0,78.0,227,0.03212353123067409,0.3941210575139147
121,0,1300.0,189.0,23.0,1512,0.14867424242424243,0.46041666666666664
122,0,105.0,9.0,27.0,141,0.025422077922077922,0.40565295815295827
123,0,80.0,44.0,245.0,369,0.22807017543859653,0.41140350877192977
124,0,169.0,0.0,88.0,257,-0.1892857142857143,0.6107142857142858
125,0,166.0,2.0,295.0,463,0.10598285486443386,0.4809150717703348
126,0,5600.0,22000.0,12541.0,40141,-0.04479166666666666,0.559375
127,0,1200.0,265.0,453.0,1918,0.22638888888888886,0.36031746031746037
128,0,157.0,0.0,942.0,1099,-0.30000000000000004,0.2
129,0,76.0,0.0,44.0,120,-0.30000000000000004,0.2
130,0,429.0,252.0,429.0,1110,-0.031210021321961604,0.596730632551528
131,0,1000.0,0.0,2172.0,3172,0.07333221551531412,0.49308629555108413
132,0,4400.0,3000.0,877.0,8277,0.11875,0.56875
133,0,8.0,0.0,5.0,13,0.1875,0.38125
134,0,227.0,26.0,341.0,594,0.03718671679197995,0.3964285714285714
135,0,3.0,0.0,1.0,4,-0.05151515151515152,0.3856060606060607
136,0,65.0,40.0,54.0,159,0.055773809523809524,0.3360714285714286
137,0,34.0,0.0,21.0,55,0.16193893825472772,0.31472431077694235
138,3,207.0,0.0,141.0,348,0.06345057720057719,0.4066901154401154
139,0,65.0,40.0,54.0,159,0.055773809523809524,0.3360714285714286
140,0,34.0,0.0,21.0,55,0.16193893825472772,0.31472431077694235
141,0,0.0,0.0,0.0,0,-0.16666666666666666,0.4222222222222222
142,3,9700.0,0.0,1158.0,10858,0.1712121212121212,0.4919191919191919
143,0,108.0,54.0,23.0,185,0.16111111111111112,0.4222222222222222
144,0,41.0,3.0,19.0,63,0.06710365206688738,0.392688067651303
145,0,4.0,0.0,3.0,7,0.0,0.0
146,0,9.0,12.0,3.0,24,0.04035087719298247,0.46403508771929824
147,0,6800.0,0.0,9617.0,16417,-0.00019384623815003904,0.43599512302043936
148,0,58.0,9.0,24.0,91,-0.01077248223474639,0.4364110103732747
149,0,94.0,28.0,53.0,175,0.26666666666666666,0.4666666666666666
150,0,411.0,0.0,1746.0,2157,-0.10681818181818183,0.5636363636363636
151,0,1300.0,0.0,13907.0,15207,0.19274891774891775,0.423051948051948
152,0,0.0,143.0,283.0,426,0.03181818181818182,0.3658730158730159
153,0,104.0,17.0,80.0,201,0.12291666666666666,0.48125
154,0,186.0,14.0,147.0,347,0.009999999999999992,0.473452380952381
155,0,169000.0,19000.0,39997.0,227997,0.05208333333333333,0.7076388888888888
156,0,0.0,57000.0,46559.0,103559,-0.184375,0.33749999999999997
157,0,177.0,30.0,221.0,428,0.0,0.0
158,0,171.0,22.0,193.0,386,0.0,0.0
159,0,284.0,66.0,136.0,486,0.04329004329004329,0.5250647228588405
160,0,131.0,45.0,28.0,204,-0.05709366391184572,0.4918388429752065
161,0,2100.0,19.0,4106.0,6225,-0.013234629294755877,0.4933519188266025
162,0,1600.0,448.0,3095.0,5143,-0.012347647392290249,0.49232568027210893
163,0,0.0,2.0,238.0,240,-0.010199175824175828,0.5054461741961743
164,0,289.0,147.0,181.0,617,0.13999999999999999,0.38
165,0,99.0,19.0,47.0,165,-0.02613636363636365,0.35157828282828274
166,0,65.0,1.0,26.0,92,0.02246599055066799,0.45400875110552535
167,0,2000.0,0.0,5433.0,7433,0.054166666666666696,0.575
168,1,2700.0,1000.0,323.0,4023,0.1774327122153209,0.5447204968944099
169,0,0.0,3.0,8734.0,8737,0.0,0.0
170,0,986.0,187.0,8184.0,9357,0.29214285714285715,0.6964285714285714
171,0,158.0,16.0,174.0,348,-0.061072261072261075,0.43916083916083914
172,0,1300.0,69.0,39.0,1408,0.08166666666666667,0.3401190476190476
173,0,1400.0,138.0,24.0,1562,0.19166666666666668,0.5694444444444444
174,0,44000.0,12000.0,2270.0,58270,0.08181818181818182,0.45303030303030306
175,0,10000.0,0.0,430.0,10430,0.16000000000000003,0.5887179487179487
176,3,58000.0,75000.0,1479.0,134479,0.3885416666666667,0.6041666666666667
177,3,780.0,218.0,911.0,1909,0.2903030303030303,0.4154545454545454
178,3,158.0,5.0,88.0,251,0.075,0.38416666666666666
179,0,56.0,10.0,200.0,266,0.07785087719298248,0.5106704260651629
180,4,33.0,2.0,26.0,61,0.08044400044400045,0.455124135124135
181,0,116.0,7.0,359.0,482,0.0,0.5
182,0,32.0,17.0,466.0,515,0.0,0.0
183,3,58000.0,75000.0,1479.0,134479,0.3885416666666667,0.6041666666666667
184,0,369.0,0.0,1016.0,1385,-0.024821428571428567,0.41946428571428573
185,0,11000.0,12000.0,986.0,23986,0.19999999999999998,0.6944444444444443
186,3,158.0,5.0,88.0,251,0.075,0.38416666666666666
187,0,189.0,53.0,111.0,353,-0.040354978354978366,0.4842380952380953
188,0,46.0,11.0,206.0,263,-0.08047619047619048,0.5857142857142856
189,0,288.0,8.0,6946.0,7242,0.5,0.5
190,0,263.0,0.0,276.0,539,-0.20833333333333334,0.725
191,0,896.0,115.0,1185.0,2196,-0.25,0.9
192,0,1500.0,156.0,2590.0,4246,-0.25,0.9
193,0,62.0,0.0,33.0,95,0.41874999999999996,0.5687500000000001
194,0,494.0,10.0,9.0,513,0.25,0.4904761904761905
195,0,477.0,75.0,504.0,1056,0.09806244260789719,0.3990128558310377
196,1,14000.0,22000.0,7092.0,43092,0.004761904761904768,0.6166666666666666
197,0,896.0,115.0,1185.0,2196,-0.25,0.9
198,0,3800.0,611.0,440.0,4851,0.20625,0.5017857142857143
199,0,233.0,23.0,172.0,428,0.0,0.0
200,0,0.0,69.0,439.0,508,0.0,0.0
201,0,472.0,3.0,796.0,1271,0.04287414965986395,0.4898526077097505
202,0,5200.0,0.0,17216.0,22416,0.04216317308422573,0.5013097136781346
203,0,35.0,1.0,125.0,161,0.14166666666666666,0.5416666666666666
204,0,0.0,0.0,0.0,0,0.4000000000000001,0.4666666666666666
205,0,187.0,38.0,720.0,945,0.12222222222222223,0.2777777777777778
206,0,1.0,0.0,0.0,1,0.0,0.0
207,0,12.0,0.0,0.0,12,0.0,0.0
208,0,109.0,2.0,34.0,145,0.0,0.0
209,0,4500.0,25000.0,909.0,30409,0.038257575757575754,0.4617174492174492
210,0,392.0,0.0,14.0,406,-0.01454545454545455,0.6424242424242423
211,3,70000.0,73000.0,33426.0,176426,0.1761904761904762,0.46666666666666673
212,0,307.0,558.0,5045.0,5910,0.10113636363636362,0.4
213,1,10000.0,32000.0,8796.0,50796,0.11205118411000763,0.6080977845683728
214,0,6600.0,6.0,5154.0,11760,0.08333333333333333,0.3358333333333333
215,1,617.0,354.0,1100.0,2071,0.16491228070175437,0.5666666666666665
216,3,0.0,267.0,954.0,1221,0.14505494505494504,0.5412087912087912
217,0,0.0,29.0,318.0,347,0.2,0.3
218,3,107.0,14.0,80.0,201,-0.0413003663003663,0.5647083685545223
219,0,88.0,2.0,5.0,95,0.32,0.4499999999999999
220,3,50.0,5.0,39.0,94,-0.0413003663003663,0.5647083685545223
221,0,0.0,63.0,100.0,163,0.02882653061224491,0.3778061224489796
222,0,0.0,37.0,536.0,573,-0.19013047138047137,0.5036405723905724
223,0,61.0,0.0,184.0,245,0.10906764330677375,0.483087604826735
224,3,0.0,330.0,1611.0,1941,0.22762150728059816,0.5288646202282566
225,0,1.0,0.0,0.0,1,0.0,0.0
226,0,12.0,0.0,0.0,12,0.0,0.0
227,0,109.0,2.0,34.0,145,0.0,0.0
228,1,41.0,0.0,24.0,65,-0.003537414965986393,0.3720748299319728
229,3,1100.0,46.0,337.0,1483,0.44999999999999996,0.75
230,0,147.0,72.0,286.0,505,0.19318181818181818,0.41666666666666663
231,1,6600.0,12000.0,1700.0,20300,-0.09722222222222225,0.6805555555555555
232,0,0.0,107.0,2075.0,2182,0.2,0.2
233,0,0.0,17.0,168.0,185,0.014052175894281156,0.28753892306523876
234,4,496.0,302.0,1040.0,1838,0.02566964285714286,0.5484375
235,0,279.0,0.0,75.0,354,-0.11704545454545456,0.49034090909090905
236,1,140.0,0.0,25.0,165,-0.025178571428571418,0.5119047619047619
237,0,922.0,0.0,306.0,1228,-0.015625,0.22604166666666672
238,3,1700.0,6.0,97076.0,98782,0.14194444444444443,0.5263888888888889
239,3,3.0,0.0,3.0,6,0.0,0.0
240,0,44.0,2.0,89.0,135,0.04204545454545453,0.38181818181818183
241,0,15.0,1.0,208.0,224,3.700743415417188e-17,0.7555555555555555
242,3,2.0,0.0,0.0,2,0.21103896103896103,0.5178571428571428
243,0,30.0,0.0,15.0,45,0.10499999999999998,0.62
244,0,72.0,0.0,41.0,113,0.0,0.0
245,3,63.0,11.0,282.0,356,-0.042777777777777776,0.48888888888888893
246,3,107.0,14.0,80.0,201,-0.0413003663003663,0.5647083685545223
247,0,19.0,0.0,39.0,58,0.08162102924398008,0.41682819912328084
248,0,2400.0,257.0,2928.0,5585,0.1619047619047619,0.5142857142857143
249,3,985.0,0.0,109.0,1094,-0.0950280112044818,0.4432773109243697
250,0,112.0,0.0,5.0,117,0.018518518518518514,0.39814814814814814
251,0,112.0,0.0,5.0,117,0.018518518518518514,0.39814814814814814
252,0,112.0,0.0,5.0,117,0.018518518518518514,0.39814814814814814
253,3,19.0,4.0,1.0,24,-0.5,1.0
254,1,685.0,81.0,69.0,835,-0.3,0.4
255,3,8.0,11.0,4.0,23,0.10625607385811466,0.4481851311953352
256,4,0.0,13.0,8.0,21,0.023214285714285715,0.25982142857142854
257,3,153.0,0.0,84.0,237,0.016666666666666677,0.875
258,0,6.0,0.0,1.0,7,0.058465608465608464,0.516633597883598
